タイトル,タイトルURL,画像URL,Like,作者,manga_id,作品紹介,コメント,score
新着伯爵家の秘められた侍女,https://manga.line.me/product/periodic?id=Z0003706,https://linemanga-obs.line-scdn.net/0htkfBMcEgK0RbOzVAaHJUE39mLSsiVzxNMQ16cCB8ITdoSSlkGwQdeil6K302exBwIV8xd3Y7fHIzC2gaMFpgIyo/middle,154.0,MIDNIGHT STUDIO(作画)・Baekjua(原作)・TON(脚色),Z0003706,"貧しい家に生まれた、ひどく醜い少女「ポーラ」。ひょんなことから名門ベルニタ伯爵家の侍女として雇われることになる。
しかし、伯爵家の主人「ヴィンセント・ベル二タ」は視力を失って以降、恐怖におびえ部屋に閉じこもってばかり。
彼が再び外に出られるその日まで、ポーラはひとりで彼の世話をしなければならない。誰にも知られないよう内密に。",107.0,1224.0
新着冥界の超越者、アカデミーへ帰還する,https://manga.line.me/product/periodic?id=S152461,https://linemanga-obs.line-scdn.net/0hcuTEK2fjPFppPCJjevpDDVxhOjUQUCtTAwptbhJ7NilaBCleVFpzNUR5Ym5MXCkJVVo/middle,32.0,天池のぞむ・SYNAPSE HEART・HxSTOON,S152461,魔王を討ち、世界を救った英雄リオン・クライン。だが、王国の裏切りによって、彼は深淵の牢獄へと堕とされた。『裏クエスト』ー　出口のない地獄で、100万体の魔獣を討つまで終わらない試練。十年の果てにリオンは【冥属性魔法】を得て、奈落を脱した。ーだが、たどり着いたのは別世界。魔法を司る学園だった。しかも、彼は「黒羽レン」という名も知らぬ少年として生きることを強制される。そこは『探索者（シーカー）』を育成する名門校。魔獣を討ち、未知の資源を探索する者たちが集う場所だった。そして、この学園を支配するのはーかつてリオンを貶めた宿敵、シャルク・クランドール。「すべてを奪った貴様が、ここにいるのか」　虐げられていた少年の体を借りたリオンだが、学園の序列も、『無能』と見下す連中も、彼には関係ない。「俺は、俺のやり方で這い上がる」　冥界の超越者が、学園で無双するー！　【クレジット】　天池のぞむ（原作・脚本）　SYNAPSEHEART（作画）　三木一馬（「原作・脚本」担当編集）　山田凌央（プロデュース・ディレクション）　Straight Edge（原作・脚本）　SYNAPSEHEART（制作）　HykeComic（プロデュース・ディレクション）,37.0,402.0
入学傭兵,https://manga.line.me/product/periodic?id=Z0001139,https://linemanga-obs.line-scdn.net/0h-vU_gHR6clloJmxZRpENDk17dDYRSmVQAhAjbRNheCpbZm0OXDVmaEV5ZGAwUzQNXUJoPhokLm5CUzULBEI4bxgn/middle,4513.0,原作：YC 作画：rakhyun,Z0001139,"８歳の頃に飛行機事故に遭い、唯一生き残った帯刀 壮馬 (たてわき そうま)は、生き延びるため傭兵として暮らしていくのだがー。
家族に会うため、１０年間の傭兵生活を終え故郷に戻り、２歳年下の妹と高校３年生として同じ高校入学する。
「俺の家族に手を出すヤツはタダじゃおかない」 元・最強傭兵の爽快アクション劇が幕を開ける！",776.0,12273.0
問題な王子様,https://manga.line.me/product/periodic?id=Z0002806,https://linemanga-obs.line-scdn.net/0hk_etHhbvNHBYDSp8MbFLJ31QMh8hYSN5MjtlRCNKPgNrPCxgHislSC8JMh9zXApEI2kuEn8LbUF2eHMiNG1yRShd/middle,3705.0,Solche(原作)・CACTUS(漫画),Z0002806,"父親に捨てられ、母方のバーデン家で静かに暮らしていたエルナ・ハルディ。

しかし祖父であるバーデン男爵が亡くなり、
一族の財産を親戚にすべて奪われる危機が訪れる！

エルナはどうにかバーデン家を守ろうと
父親に助けを求めるためシュベリンへ向かうことになるが…

そこで出会ったのは「王室の毒キノコ」
ビョルン・デナイスタ。

彼はスキャンダルで王太子の座から降ろされた
前代未聞の道楽者である。

バーデン家を守りたいエルナに現れた
甘い毒キノコ…

「エルナお嬢様、毒キノコは食べてはいけません。死んでしまいます！」",467.0,8375.0
ナノ魔神,https://manga.line.me/product/periodic?id=Z0000948,https://linemanga-obs.line-scdn.net/0hyWXkdxZIJnhlEjh0Tr9ZL0BPIBccfjFxDyR3TB5VLAtWY2cqLTAQYyQRIABAKh5rIXY8FhAaeEpLZ2EqCXJsSxRC/middle,1536.0,画・GGBG / 脚色・Great H / 原作・HANJUNG WOLYA,Z0000948,"あらゆる差別と暗殺の危機の中、かろうじて生き延びている主人公・天黎雲（てん りうん）。
最後の瞬間だと諦めたその時、未来から訪れた子孫によって、とてつもない力を手に入れた。

「この力はいったいー」

未来の力を手に入れ邪悪な魔教に立ち向かえ！
武侠 X SF 新感覚ジャンル、ここに始まる。",367.0,5206.0
夫を社会的に抹殺する5つの方法【フルカラー】【タテヨミ】,https://manga.line.me/product/periodic?id=S127052,https://linemanga-obs.line-scdn.net/0h8QGkiwzAZ356EnYJ9xIYKU9PYREDfnB3ECQ2SgFVbQ1JdiR4EXR4SA9XOUtSdyMsE3I/middle,9742.0,おえかき・秋好ミゲル・三田たたみ,S127052,結婚一年目、幸せな専業主婦だった茜（あかね）は、夫の大輔（だいすけ）によって絶望の淵に叩き落される。日ごとに増える暴力、モラハラ、性暴力……。少しずつ心を壊し、夫の言いなりになっていく茜。それでも『子どもさえできれば彼は変わってくれるはず』そう信じていたのに――！　夫に裏切られ、命より大事なものを奪われた茜が選んだのは、復讐という修羅の道……「簡単には殺してあげない。生き地獄をアナタに味わわせてあげる――」※77話以降は作画担当が、秋好ミゲル（ネーム・作画）、雛迷（着彩）に変更となっております。,605.0,15792.0
よくある令嬢転生だと思ったのに,https://manga.line.me/product/periodic?id=Z0003022,https://linemanga-obs.line-scdn.net/0hAq9UqsK_Hl4ELA_OfglhCSFxGDF9QAlXbhpPan9rFC03HVpMW0onSGcrCGpxXCx9cEgEMSIrSGkuWVkMOkhZbCYv/middle,16104.0,lemonfrog(原作)・DOYOSAY(脚色)・A-Jin(絵),Z0003022,"そりゃそうだ。私なんかが主人公になるわけがない。

夫に殺される運命の悪女役だけど、このパターンは熟知してる！
無念の死を遂げた対価としては悪くないと思った。
原作ストーリーを変えることは不可能だと悟るまでは…
どうぜ原作通りに死ぬのなら、超絶イケメンの夫にキスでもしてやる！

「リゲルホフの女狐らしく私を満足させてはどうですか。ひょっとしたら体の情でも移るかもしれませんよ」

…なんだか原作と違う展開になってきた!?",593.0,22034.0
最強暗殺者、クラス転移で異世界へ,https://manga.line.me/product/periodic?id=S138654,https://linemanga-obs.line-scdn.net/0hezMT2CmIOlVwLSQHZCBFAkVwPDoJQS1cGhtrYQtqMCZDG31RHxklNVFoZGFbHS5XGRs/middle,113.0,雨宮和希・akym・HxSTOON,S138654,昼は普通の高校生、夜は裏社会に生きる暗殺者。2つの顔を持つ少年、新城戒。寡黙な性格と不気味な雰囲気をまとっていることもあり、クラスメイトからは嫌われていた。ある日、突如として新城とクラスメイトはまるごと異世界に転移してしまった。そこは、剣と魔法の世界。混乱する生徒たちの前に現れたレオノーラと名乗る女性が告げる。「貴方たちは魔王を倒すために召喚された『勇者候補』です。どうか私たちを助けてください」レオノーラによってクラスメイトひとりひとりに特殊な能力『加護』が付与される。念動力や爆破など強力な『加護』が与えられる中、新城に与えられた『加護』は鑑定。対象の詳細を知ることできるスキルだが、元よりクラスから孤立していたこともあり、戦闘には役立たない無能なスキルだとクラスメイトから馬鹿にされる。しかし、新城は暗殺者としての実力や冷静な状況判断で異世界でも暗躍していく――。【クレジット】雨宮和希（原作・脚本）akym（キャラクターデザイン）しきもく（同上）加藤屋大悟（ネーム）akym（作画）しきもく（線画アシスタント）ロッド（同上）たなおたなこ（同上）斉藤ミヤビ　（背景）夜野よいち（着彩）鴉羽ヨミ（仕上げ）野上宗大（作画・着色監修）中島將智（「原作・脚本」担当編集）　高橋知佳　（「作画・着彩」担当ディレクション）山田　凌央（プロデュース・ディレクション）HykeComic（プロデュース・ディレクション）Whomor（制作）Straight Edge（原作・脚本）,273.0,2843.0
浮気しませんか？私と,https://manga.line.me/product/periodic?id=Z0003625,https://linemanga-obs.line-scdn.net/0hXc6Xw3wWB0wLIRlIPcZ4Gy58ASNyTRBFYRdWeHBmDT84VEV4UDcrTnF7MSpxFgdyfkUdeHokWnwvVEAePxBPKX4g/middle,108.0,DDOGING(漫画)・MAESA(脚色)・lee inhye(原作),Z0003625,"結婚を約束した恋人が浮気をした、私の妹と。
私と彼の家のベッドの上で絡んでいる二人の姿を見て、髪の毛でもつかむべきだったのに…
でも、二人に怒りよりも、自分の行動に対する父の暴力と無視が怖かった。
だから、私はもう少し賢くなることにした。
あなたが私の恋人と浮気をするなら、私も浮気してやるよ。
「あなたの恋人である、ハン・ヨンヒョクと」",154.0,1648.0
刺身包丁でアカデミー無双,https://manga.line.me/product/periodic?id=Z0003682,https://linemanga-obs.line-scdn.net/0hf2s1gllnOR1OSCcYBvBGSmsVP3I3JC4UJH5oKTUPM259cH8ICywUJmxNNHYUGwscFSwiemJBYC1hPX5PenpxKT4f/middle,236.0,GMAN(作画・脚色)・tangahuru(原作),Z0003682,"「切れば断ち切れます」

全国一の包丁人と称された俺は課金を数回したことのあるだけのモバイルゲームの世界に入り込んでしまった。
しかも「剣神の加護」を授けられて⋯！

それなのに⋯使える武器は刺身包丁だけだと？
１日たった１分。俺は刺身包丁で「剣聖」になる。",150.0,1736.0
